# 2023-02-09, 15:05:37.733588
# fs = 10000 Hz, N = 1000
# NI 9201, 19.5.0
t,ai0
0.000000000,-0.678925752
0.000100000,-0.678925752
0.000200000,-0.663502416
0.000300000,-0.658361304
0.000400000,-0.642937968
0.000500000,-0.637796856
0.000600000,-0.622373520
0.000700000,-0.617232408
0.000800000,-0.606950184
0.000900000,-0.591526848
0.001000000,-0.586385736
0.001100000,-0.576103512
0.001200000,-0.565821288
0.001300000,-0.555539064
0.001400000,-0.545256840
0.001500000,-0.529833504
0.001600000,-0.519551280
0.001700000,-0.509269056
0.001800000,-0.504127944
0.001900000,-0.493845720
0.002000000,-0.473281272
0.002100000,-0.468140160
0.002200000,-0.452716824
0.002300000,-0.447575712
0.002400000,-0.437293488
0.002500000,-0.421870152
0.002600000,-0.411587928
0.002700000,-0.396164592
0.002800000,-0.385882368
0.002900000,-0.375600144
0.003000000,-0.365317920
0.003100000,-0.355035696
0.003200000,-0.339612360
0.003300000,-0.329330136
0.003400000,-0.313906800
0.003500000,-0.308765688
0.003600000,-0.298483464
0.003700000,-0.283060128
0.003800000,-0.267636792
0.003900000,-0.252213456
0.004000000,-0.247072344
0.004100000,-0.231649008
0.004200000,-0.221366784
0.004300000,-0.205943448
0.004400000,-0.195661224
0.004500000,-0.185379000
0.004600000,-0.175096776
0.004700000,-0.159673440
0.004800000,-0.144250104
0.004900000,-0.139108992
0.005000000,-0.128826768
0.005100000,-0.108262320
0.005200000,-0.087697872
0.005300000,-0.077415648
0.005400000,-0.067133424
0.005500000,-0.061992312
0.005600000,-0.046568976
0.005700000,-0.031145640
0.005800000,-0.020863416
0.005900000,-0.005440080
0.006000000,0.004842144
0.006100000,0.015124368
0.006200000,0.035688816
0.006300000,0.045971040
0.006400000,0.056253264
0.006500000,0.066535488
0.006600000,0.076817712
0.006700000,0.097382160
0.006800000,0.107664384
0.006900000,0.123087720
0.007000000,0.133369944
0.007100000,0.143652168
0.007200000,0.164216616
0.007300000,0.169357728
0.007400000,0.179639952
0.007500000,0.195063288
0.007600000,0.205345512
0.007700000,0.215627736
0.007800000,0.231051072
0.007900000,0.236192184
0.008000000,0.256756632
0.008100000,0.267038856
0.008200000,0.277321080
0.008300000,0.287603304
0.008400000,0.297885528
0.008500000,0.308167752
0.008600000,0.328732200
0.008700000,0.344155536
0.008800000,0.344155536
0.008900000,0.359578872
0.009000000,0.369861096
0.009100000,0.385284432
0.009200000,0.400707768
0.009300000,0.410989992
0.009400000,0.426413328
0.009500000,0.431554440
0.009600000,0.446977776
0.009700000,0.457260000
0.009800000,0.462401112
0.009900000,0.477824448
0.010000000,0.488106672
